Row Labels,Sum of Final_Global_Sales,,Row Labels,Sum of Final_Global_Sales,,Row Labels,Sum of Final_Global_Sales,,Row Labels,Sum of Final_Global_Sales,,Row Labels,Sum of NA_Sales,Sum of EU_Sales,Sum of JP_Sales,Sum of Other_Sales,,Row Labels,Sum of Final_Global_Sales,,Row Labels,Sum of Final_Global_Sales,,Row Labels,Count of Name
PS2,1233.56,,Action,1721.86,,2008,678.49,,Nintendo,1784.23,,Action,861.80,516.48,158.66,184.92,,Wii Sports,82.74,,2000s,4640.51,,North Amrica,9925
X360,969.31,,Sports,1308.83,,2009,667.10,,Electronic Arts,1093.20,,Adventure,102.06,63.79,52.01,16.70,,Grand Theft Auto V,55.92,,2010s,2519.84,,Japan,3986
PS3,949.38,,Shooter,1025.69,,2007,610.44,,Activision,721.06,,Fighting,220.74,100.00,87.15,36.19,,Super Mario Bros.,45.31,,1990s,1278.73,,Europe,2339
Wii,909.20,,Role-Playing,923.75,,2010,600.36,,Sony Computer Entertainment,607.27,,Misc,402.48,213.82,106.67,74.02,,Tetris,35.84,,1980s,376.48,,Other,76
DS,817.94,,Platform,828.82,,2006,520.52,,Ubisoft,473.33,,Platform,445.99,200.67,130.65,51.51,,Mario Kart Wii,35.83,,2020s,0.29,,Grand Total,16326
PS,727.56,,Misc,796.99,,2011,515.93,,Take-Two Interactive,399.45,,Puzzle,122.01,50.53,56.68,12.47,,Wii Sports Resort,33.00,,Grand Total,8815.85,,,الاستنتاج: اكبر سوق احتواءا علي العاب هو امريكا الشماليه
GBA,312.88,,Racing,726.54,,2005,459.41,,THQ,340.32,,Racing,356.93,236.32,56.61,76.68,,Pokemon Red/Pokemon Blue,31.38,,,الاستنتاج: عقد 2000s هو اكثر عقد نم تحقيق مبيعات فيه,,,
PSP,291.66,,Fighting,444.08,,2004,418.85,,Konami Digital Entertainment,278.37,,Role-Playing,326.50,187.58,350.29,59.38,,Call of Duty: Modern Warfare 3,30.84,,,,,,
PS4,278.16,,Simulation,389.88,,2002,394.97,,Sega,270.68,,Shooter,575.16,310.45,38.18,101.90,,New Super Mario Bros.,30.01,,,,,,
GB,254.43,,Puzzle,241.69,,2013,367.98,,Namco Bandai Games,253.47,,Simulation,181.78,113.20,63.54,31.36,,Call of Duty: Black Ops II,29.73,,,,,,
PC,254.24,,Adventure,234.56,,2012,363.29,,Grand Total,6221.38,,Sports,670.09,371.33,134.76,132.65,,Grand Total,410.60,,,,,,
XB,251.57,,Strategy,173.16,,2003,357.61,,,الاستنتاج: اكثر الشركات تحقيقا للمبيعات واكثرهم شركة Nintendo,,Strategy,67.89,44.94,49.10,11.23,,,الاستنتاج : اكثرالالعاب تحقيقا للمبيعات عالميا ,,,,,,
NES,251.05,,Grand Total,8815.85,,2014,337.10,,,,,Grand Total,4333.43,2409.11,1284.30,789.01,,,,,,,,,
3DS,246.18,,,الاستنتاج: العاب الاكشن هي الاكثر نحقيقا للمبيعات في العالم,,2001,331.49,,,,,,,,,الاستنتاج: اكثر المناطق بيعا للالعاب بالترتيب,,,,,,,,,
N64,218.01,,,,,2015,264.26,,,,,,,,,,,,,,,,,,
SNES,200.04,,,,,1998,256.33,,,,,,,,,,,,,,,,,,
GC,196.73,,,,,1999,251.12,,,,,,,,,,,,,,,,,,
XOne,141.10,,,,,2000,201.63,,,,,,,,,,,,,,,,,,
2600,86.48,,,,,1997,201.07,,,,,,,,,,,,,,,,,,
WiiU,81.79,,,,,1996,199.15,,,,,,,,,,,,,,,,,,
PSV,61.64,,,,,1995,88.11,,,,,,,,,,,,,,,,,,
SAT,33.59,,,,,1994,79.22,,,,,,,,,,,,,,,,,,
GEN,28.35,,,,,1992,76.14,,,,,,,,,,,,,,,,,,
DC,15.95,,,,,1989,73.45,,,,,,,,,,,,,,,,,,
SCD,1.86,,,,,2016,70.87,,,,,,,,,,,,,,,,,,
NG,1.44,,,,,1985,53.95,,,,,,,,,,,,,,,,,,
WS,1.42,,,,,1984,50.35,,,,,,,,,,,,,,,,,,
TG16,0.16,,,,,1990,49.37,,,,,,,,,,,,,,,,,,
3DO,0.10,,,,,1988,47.21,,,,,,,,,,,,,,,,,,
GG,0.04,,,,,1993,45.99,,,,,,,,,,,,,,,,,,
PCFX,0.03,,,,,1986,37.08,,,,,,,,,,,,,,,,,,
Grand Total,8815.85,,,,,1981,35.68,,,,,,,,,,,,,,,,,,
,الاستنتاج:اعلي منصه حققت مبيعات هي PS2,,,,,1991,32.23,,,,,,,,,,,,,,,,,,
,,,,,,1982,28.88,,,,,,,,,,,,,,,,,,
,,,,,,1987,21.70,,,,,,,,,,,,,,,,,,
,,,,,,1983,16.80,,,,,,,,,,,,,,,,,,
,,,,,,1980,11.38,,,,,,,,,,,,,,,,,,
,,,,,,2020,0.29,,,,,,,,,,,,,,,,,,
,,,,,,2017,0.05,,,,,,,,,,,,,,,,,,
,,,,,,Grand Total,8815.85,,,,,,,,,,,,,,,,,,
,,,,,,,الاستنتاج: اكثر مبيعات تمت في سنة 2008,,,,,,,,,,,,,,,,,,
